epoch,loss,iou
968,1.753286,0.695256
969,1.763050,0.671226
970,1.895733,0.690973
971,1.844934,0.719106
972,1.728106,0.716385
973,1.682364,0.706401
974,1.683561,0.711397
975,1.769167,0.703931
976,1.916336,0.696329
977,1.759035,0.670157
978,1.733878,0.707998
979,1.719597,0.709357
980,1.720333,0.710010
981,1.723347,0.715050
982,1.904221,0.709976
983,1.854683,0.707029
984,1.741342,0.723254
985,1.685687,0.731748
986,1.675718,0.723989
987,1.697462,0.731004
988,1.674831,0.726180
989,1.703569,0.709199
990,1.737763,0.697694
991,1.839864,0.697330
992,1.771756,0.705000
993,1.836712,0.720374
994,1.785878,0.714577
995,1.751074,0.713168
996,1.737156,0.715921
997,1.768344,0.701583
998,1.799315,0.706998
999,1.718531,0.707746
1000,1.875205,0.698844
1001,1.774060,0.725688
1002,1.703065,0.737503
1003,1.660789,0.721606
1004,1.724726,0.728500
1005,1.687812,0.724321
1006,1.758801,0.734013
1007,1.681924,0.709107
1008,1.691677,0.721700
1009,1.749374,0.721583
1010,1.687916,0.722505
1011,1.757060,0.714245
1012,1.789420,0.648350
1013,1.899268,0.669947
1014,1.890653,0.693591
1015,1.715629,0.655588
1016,1.788664,0.728975
1017,1.701635,0.716401
1018,1.716386,0.729752
1019,1.698886,0.716123
1020,1.743231,0.711055
1021,1.784841,0.716986
1022,1.750950,0.704158
1023,1.687647,0.699053
1024,1.717581,0.694321
1025,1.800744,0.713497
1026,1.850768,0.681720
1027,1.903030,0.681666
1028,1.776568,0.684220
1029,1.865180,0.702149
1030,1.729754,0.720153
1031,1.707598,0.718213
1032,1.718378,0.724436
1033,1.703659,0.721272
1034,1.715242,0.707809
1035,1.695956,0.702609
1036,1.876025,0.715360
1037,1.799783,0.706648
1038,1.751048,0.704288
1039,1.854578,0.674282
1040,1.889925,0.694892
1041,1.784349,0.703667
1042,1.801496,0.721927
1043,1.681547,0.717038
1044,1.725911,0.718488
1045,1.702346,0.724070
1046,1.673421,0.718707
1047,1.761808,0.722469
1048,1.825006,0.678001
1049,1.832998,0.686667
1050,1.943525,0.719279
1051,1.704108,0.722122
1052,1.701082,0.722361
1053,1.745087,0.695241
1054,1.861753,0.703964
1055,1.797714,0.696081
1056,1.843600,0.698434
1057,1.780039,0.730115
1058,1.708746,0.703269
1059,1.718585,0.708283
1060,1.700177,0.710804
1061,1.745498,0.713005
1062,1.788160,0.718104
1063,1.801313,0.703877
1064,1.938120,0.702099
1065,1.792902,0.708001
1066,1.838598,0.707853
1067,1.845950,0.701385
1068,1.784909,0.646550
1069,1.771885,0.705626
1070,1.759652,0.730333
1071,1.726584,0.683107
1072,1.757133,0.723159
1073,1.788899,0.726986
1074,1.756222,0.679676
1075,1.869068,0.690070
1076,1.831425,0.708679
1077,1.718921,0.731667
1078,1.744287,0.725293
1079,1.750536,0.721848
1080,1.716963,0.696850
1081,1.763599,0.687206
1082,1.773729,0.720650
1083,1.742106,0.715862
1084,1.779505,0.720369
1085,1.718588,0.675385
1086,1.847619,0.717775
1087,1.683679,0.708351
1088,1.692124,0.724122
1089,1.704949,0.723777
1090,1.671726,0.711288
1091,1.717041,0.728191
1092,1.805060,0.732020
1093,1.691736,0.707217
1094,1.823008,0.706513
1095,1.818017,0.705805
1096,1.802527,0.721979
1097,1.749478,0.726647
1098,1.786335,0.710174
1099,1.788635,0.686521
1100,1.779525,0.711363
1101,1.677464,0.709998
1102,1.741182,0.695605
1103,1.718908,0.708887
1104,1.751845,0.715967
1105,1.787282,0.736345
1106,1.697588,0.711459
1107,1.689354,0.720591
1108,1.709799,0.709610
1109,1.760086,0.677466
1110,1.767257,0.659937
1111,1.865408,0.652783
1112,1.952536,0.708874
1113,1.891326,0.597548
1114,1.926300,0.712298
1115,1.864697,0.715603
1116,1.797010,0.685671
1117,1.892038,0.725022
1118,1.728195,0.720092
1119,1.754962,0.728510
1120,1.683482,0.696173
1121,1.697696,0.682525
1122,1.796418,0.731764
1123,1.740383,0.719346
1124,1.740684,0.712648
1125,1.732710,0.693071
1126,1.827696,0.716086
1127,1.701129,0.657348
1128,1.809030,0.692331
1129,1.884377,0.702560
1130,1.761878,0.728054
1131,1.686009,0.708911
1132,1.768337,0.722767
1133,1.759206,0.709305
1134,1.780054,0.715882
1135,1.797395,0.706865
1136,1.771138,0.714006
1137,1.746385,0.710343
1138,1.703933,0.718501
1139,1.731541,0.721665
1140,1.710507,0.727565
1141,1.704940,0.712555
1142,1.696909,0.715706
1143,1.766615,0.714183
1144,1.690133,0.707840
1145,1.706578,0.719201
1146,1.752701,0.726150
1147,1.774808,0.704295
1148,1.855762,0.697628
1149,1.730620,0.724340
1150,1.690375,0.714859
